Geographic code,Geographic name,"CSD, DPL Type","Population, 2016","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2011",2011 adjusted population flag,"Incompletely enumerated Indian reserves and Indian settlements, 2011",2016 population review flag,2011 population review or received update flag,"Population, % change","Total private dwellings, 2016","Private dwellings occupied by usual residents, 2016","Land area in square kilometres, 2016","Population density per square kilometre, 2016",X16
3557041,Elliot Lake,City (CY),10741,FALSE,11348,FALSE,FALSE,FALSE,NA,-5.3,6259,5514,714.65,15,NA
3557061,Sault Ste. Marie,City (CY),73368,FALSE,75141,FALSE,FALSE,FALSE,NA,-2.4,34485,32634,223.24,328.6,NA
3529005,Brant,City (CY),36707,FALSE,35638,FALSE,FALSE,FALSE,NA,3,13687,13315,843.25,43.5,NA
3529006,Brantford,City (CY),97496,FALSE,93650,FALSE,FALSE,FALSE,NA,4.1,40732,39215,72.44,1345.9,NA
3556027,Timmins,City (CY),41788,FALSE,43165,FALSE,FALSE,FALSE,NA,-3.2,19317,17740,2978.83,14,NA
3518013,Oshawa,City (CY),159458,FALSE,149607,FALSE,FALSE,FALSE,NA,6.6,64883,62595,145.64,1094.9,NA
3518001,Pickering,City (CY),91771,FALSE,88721,FALSE,FALSE,FALSE,NA,3.4,31630,30919,231.55,396.3,NA
3534021,St. Thomas,City (CY),38909,FALSE,37905,FALSE,FALSE,FALSE,NA,2.6,17114,16586,35.63,1092.1,NA
3537039,Windsor,City (CY),217188,FALSE,210891,FALSE,FALSE,FALSE,NA,3,97777,91632,146.38,1483.8,NA
3510010,Kingston,City (CY),123798,FALSE,123363,FALSE,FALSE,FALSE,NA,0.4,59977,53518,451.19,274.4,NA
3553005,Greater Sudbury,City (CV),161531,FALSE,160274,FALSE,FALSE,FALSE,NA,0.8,75029,69152,3228.35,50,NA
3542059,Owen Sound,City (CY),21341,FALSE,21688,FALSE,FALSE,FALSE,NA,-1.6,10098,9630,24.27,879.2,NA
3528018,Haldimand County,City (CY),45608,FALSE,44876,FALSE,FALSE,FALSE,NA,1.6,19472,17502,1251.54,36.4,NA
3528052,Norfolk County,City (CY),64044,FALSE,63175,FALSE,FALSE,FALSE,NA,1.4,28720,26007,1607.55,39.8,NA
3524002,Burlington,City (CY),183314,FALSE,175779,FALSE,FALSE,FALSE,NA,4.3,72535,71373,185.66,987.3,NA
3525005,Hamilton,City (C),536917,FALSE,519949,FALSE,FALSE,FALSE,NA,3.3,222918,211596,1117.29,480.6,NA
3512005,Belleville,City (CY),50716,FALSE,49454,FALSE,FALSE,FALSE,NA,2.6,22744,21732,247.25,205.1,NA
3512015,Quinte West,City (CY),43577,FALSE,43086,FALSE,FALSE,FALSE,NA,1.1,18646,17828,494.02,88.2,NA
3516010,Kawartha Lakes,City (CY),75423,FALSE,73219,TRUE,FALSE,FALSE,D,3,38444,31106,3084.38,24.5,NA
3560027,Dryden,City (CY),7749,FALSE,7617,FALSE,FALSE,FALSE,NA,1.7,3541,3361,66.19,117.1,NA
3560010,Kenora,City (CY),15096,FALSE,15348,FALSE,FALSE,FALSE,NA,-1.6,7376,6475,211.59,71.3,NA
3538030,Sarnia,City (CY),71594,FALSE,72366,FALSE,FALSE,FALSE,NA,-1.1,33324,31937,164.85,434.3,NA
3507015,Brockville,City (CY),21346,FALSE,21870,FALSE,FALSE,FALSE,NA,-2.4,10826,10266,20.85,1023.6,NA
3539036,London,City (CY),383822,FALSE,366151,FALSE,FALSE,FALSE,NA,4.8,175558,163140,420.35,913.1,NA
3526043,Niagara Falls,City (CY),88071,FALSE,82997,FALSE,FALSE,FALSE,NA,6.1,37265,35773,209.73,419.9,NA
3526011,Port Colborne,City (CY),18306,FALSE,18424,FALSE,FALSE,FALSE,NA,-0.6,9825,8018,121.96,150.1,NA
3526053,St. Catharines,City (CY),133113,FALSE,131400,FALSE,FALSE,FALSE,NA,1.3,59879,56873,96.13,1384.8,NA
3526037,Thorold,City (CY),18801,FALSE,17931,FALSE,FALSE,FALSE,NA,4.9,8498,7466,82.99,226.5,NA
3526032,Welland,City (CY),52293,FALSE,50631,FALSE,FALSE,FALSE,NA,3.3,23323,22490,81.04,645.3,NA
3548044,North Bay,City (CY),51553,FALSE,53651,FALSE,FALSE,FALSE,NA,-3.9,24799,22614,319.11,161.6,NA
3506008,Ottawa,City (CV),934243,FALSE,883391,FALSE,FALSE,FALSE,NA,5.8,395985,373756,2790.3,334.8,NA
3532042,Woodstock,City (CY),40902,FALSE,37754,FALSE,FALSE,FALSE,NA,8.3,17530,17151,48.97,835.3,NA
3521010,Brampton,City (CY),593638,FALSE,523906,TRUE,FALSE,FALSE,D,13.3,173428,168011,266.36,2228.7,NA
3521005,Mississauga,City (CY),721599,FALSE,713443,FALSE,FALSE,FALSE,NA,1.1,248469,240913,292.43,2467.6,NA
3531011,Stratford,City (CY),31465,FALSE,30903,TRUE,FALSE,FALSE,D,1.8,14302,13847,28.28,1112.5,NA
3515014,Peterborough,City (CY),81032,FALSE,78777,TRUE,FALSE,FALSE,D,2.9,36785,34710,64.25,1261.2,NA
3502036,Clarence-Rockland,City (C),24512,FALSE,23185,FALSE,FALSE,FALSE,NA,5.7,9537,9329,297.71,82.3,NA
3513020,Prince Edward County,City (CY),24735,FALSE,25258,FALSE,FALSE,FALSE,NA,-2.1,12899,10728,1050.49,23.5,NA
3547064,Pembroke,City (CY),13882,FALSE,14360,FALSE,FALSE,FALSE,NA,-3.3,6685,6198,14.56,953.3,NA
3543042,Barrie,City (CY),141434,FALSE,136063,TRUE,FALSE,FALSE,B,3.9,54227,52476,99.04,1428,NA
3543052,Orillia,City (CY),31166,FALSE,30586,FALSE,FALSE,FALSE,NA,1.9,14287,13477,28.58,1090.3,NA
3501012,Cornwall,City (CY),46589,FALSE,46340,FALSE,FALSE,FALSE,NA,0.5,21659,20931,61.56,756.8,NA
3558004,Thunder Bay,City (CY),107909,FALSE,108359,FALSE,FALSE,FALSE,NA,-0.4,50388,47182,328.36,328.6,NA
3554020,Temiskaming Shores,City (CY),9920,FALSE,10400,FALSE,FALSE,FALSE,NA,-4.6,4673,4379,178.11,55.7,NA
3520005,Toronto,City (C),2731571,FALSE,2615060,FALSE,FALSE,FALSE,NA,4.5,1179057,1112929,630.2,4334.4,NA
3530010,Cambridge,City (CY),129920,FALSE,126748,FALSE,FALSE,FALSE,NA,2.5,49388,48239,113.01,1149.6,NA
3530013,Kitchener,City (CY),233222,FALSE,219153,FALSE,FALSE,FALSE,NA,6.4,95495,92217,136.77,1705.2,NA
3530016,Waterloo,City (CY),104986,FALSE,98780,FALSE,FALSE,FALSE,NA,6.3,46096,40381,64.02,1639.8,NA
3523008,Guelph,City (CY),131794,FALSE,121688,FALSE,FALSE,FALSE,NA,8.3,55927,52090,87.22,1511.1,NA
3519036,Markham,City (CY),328966,FALSE,301709,FALSE,FALSE,FALSE,NA,9,106131,102676,212.35,1549.2,NA
3519028,Vaughan,City (CY),306233,FALSE,288301,FALSE,FALSE,FALSE,NA,6.2,96657,94253,273.56,1119.4,NA
