postal_Code,SAC
K0L0A0,529
K0L1B0,529
K0L1H0,529
K0L1J0,529
K0L1R0,529
K0L1S0,529
K0L1T0,529
K0L1V0,529
K0L2B0,529
K0L2C0,529
K0L2G0,529
K0L2H0,529
K0L2V0,529
K0L2W0,529
K0L3A0,529
K0L3G0,529
K9H0A1,529
K9H0A2,529
K9H0A3,529
K9H0A4,529
K9H0A5,529
K9H0A6,529
K9H0A7,529
K9H0A8,529
K9H0A9,529
K9H0B1,529
K9H0B2,529
K9H0B3,529
K9H0B5,529
K9H0B6,529
K9H0B7,529
K9H0B8,529
K9H0B9,529
K9H0C1,529
K9H0C2,529
K9H0C3,529
K9H0C4,529
K9H0C5,529
K9H0C6,529
K9H0C7,529
K9H0C8,529
K9H0C9,529
K9H0E1,529
K9H0E2,529
K9H0E3,529
K9H0E4,529
K9H0E5,529
K9H0E6,529
K9H0E7,529
K9H0E8,529
K9H0E9,529
K9H0G4,529
K9H0G5,529
K9H0G6,529
K9H0G7,529
K9H0G8,529
K9H0G9,529
K9H0H1,529
K9H0H5,529
K9H0H7,529
K9H0H8,529
K9H0H9,529
K9H0J1,529
K9H0J2,529
K9H0J3,529
K9H0J4,529
K9H0J5,529
K9H0J6,529
K9H0J7,529
K9H0J8,529
K9H0K2,529
K9H0K3,529
K9H1A1,529
K9H1A2,529
K9H1A3,529
K9H1A4,529
K9H1A5,529
K9H1A6,529
K9H1A7,529
K9H1A8,529
K9H1A9,529
K9H1B1,529
K9H1B2,529
K9H1B3,529
K9H1B4,529
K9H1B5,529
K9H1B6,529
K9H1B7,529
K9H1B8,529
K9H1B9,529
K9H1C1,529
K9H1C2,529
K9H1C3,529
K9H1C4,529
K9H1C5,529
K9H1C6,529
K9H1C7,529
K9H1C8,529
K9H1C9,529
K9H1E1,529
K9H1E2,529
K9H1E3,529
K9H1E4,529
K9H1E5,529
K9H1E6,529
K9H1E7,529
K9H1E8,529
K9H1E9,529
K9H1G1,529
K9H1G2,529
K9H1G4,529
K9H1G5,529
K9H1G6,529
K9H1G7,529
K9H1G8,529
K9H1G9,529
K9H1H1,529
K9H1H2,529
K9H1H3,529
K9H1H4,529
K9H1H5,529
K9H1H6,529
K9H1H7,529
K9H1H8,529
K9H1H9,529
K9H1J1,529
K9H1J2,529
K9H1J3,529
K9H1J4,529
K9H1J5,529
K9H1J6,529
K9H1J7,529
K9H1J8,529
K9H1J9,529
K9H1K1,529
K9H1K2,529
K9H1K3,529
K9H1K4,529
K9H1K5,529
K9H1K6,529
K9H1K7,529
K9H1K8,529
