restaurantName,restaurantAddress,restaurantPostalCode,phoneNumber
Sociable Kitchen & Tavern,"45 King George Road Brantford, ON N3R 5K2 Canada",N3R5K2,+1 519-751-4042
Fume RestoBar,"150 Morrell Street Brantford, ON N3T 4K2 Canada",N3T4K2,+1 548-880-3863
Zander's Fire Grill and Brew Lounge,"190 King George Road Brantford, ON N3R 6S8 Canada",N3R6S8,+1 519-304-7625
Mercasa Little Italy Eatery,"195 Henry Street Brantford, ON N3S 5C9 Canada",N3S5C9,+1 226-227-5821
Pavol & Ibeth's Deli,"18 Elgin St Brantford, ON N3R 1E6 Canada",N3R1E6,+1 519-755-1583
Gran Sasso Restaurant,"98 Paris Road Brantford, ON N3R 1H9 Canada",N3R1H9,+1 519-752-1500
Al Dente Pasta Pizza Grill,"250 King George Road Brantford, ON N3R 5L5 Canada",N3R5L5,+1 519-753-4303
Camp 31 Bar-B-Q,"22 Paris Road Paris, ON N3L 3H8 Canada",N3L3H8,+1 519-442-3560
Everest Grill,"781 Colbourne Street Brantford, ON N3S 3S3 Canada",N3S3S3,+1 519-750-8444
Wingmaster,"70 Erie Avenue Brantford, ON N3S 2E8 Canada",N3S2E8,+1 519-750-1440
Pho Viet Nam 999,"205 King George Rd Brantford, ON N3R 6S8 Canada",N3R6S8,+1 519-751-7999
Goo's Take-Out & Catering,"230 Shellards Ln Unit C6 Brantford, ON N3T 5L5",N3T5L5,+1 519-752-1111
Blue Dog Coffee Roasters,"199 Brant Ave Brantford, ON N3T 3J1 Canada",N3T3J1,+1 519-512-0022
On The Lam,"106 Queen Street Brantford, ON N3T 3B9 Canada",N3T3B9,+1 519-756-5177
Speekezzies Cafe & Wine Bar,"415 Fairview Drive Brantford, ON N3R 7M3 Canada",N3R7M3,+1 519-757-0621
Kingswood Restaurant,"43 Colborne Street W Brantford, ON N3T 1K6 Canada",N3T1K6,+1 519-751-0128
Blessing Eatery,"185 King George Road Brantford, ON N3R 7R9 Canada",N3R7R9,+1 519-304-6662
The Olde School Restaurant,"687 Powerline Rd Brantford, ON N3V 0A4 Canada",N3V0A4,+1 519-753-3131
Burrito Brothers,"38 Dalhousie Street Brantford, ON N3T 3C2 Canada",N3T3C2,+1 519-304-7228
Chuck's Roadhouse Bar and Grill,"245-265 King George Road Brantford, ON N3R 5L5 Canada",N3R5L5,+1 519-304-1237
Taal Fine Indian Cuisine,"578 Colborne Street Brantford, ON N3S 3P6 Canada",N3S3P6,+1 519-752-3788
Joy Sushi Bar,"195 Henry Street Brantford, ON N3S 5C9 Canada",N3S5C9,+1 519-756-8988
Admiral Submarine,"55 Dalhousie St Brantford, ON N3T 2J1 Canada",N3T2J1,+1 519-753-9761
The Works Gourmet Burger Bistro,"80 Dalhousie Street Brantford, ON N3T 2L2 Canada",N3T2L2,+1 519-304-6789
