"","group","q1_city","q2_type","q3_layoff","q4_total_sales","q5_total_cost","q6_order","q7_revenue","q8_survive","q9_profitability","q10_recover","q11_rate_support","q12_lease","q13_CEWS","q14_loans","q15_grants"
"1","Control","Brantford","Quick-service","5-10","Prefer not to say","Increased by more than 25% ","Decreased by 5% ~ 25%","Decreased more than 25%","Longer than 6 months","Operating at a loss","More than 18 months","4","Yes","No","$0 ~ $20,000","Prefer not to say"
"2","Control","Brantford","Table-service","1-4","Decreased 5% ~ 10%","Decreased by 5% ~ 25%","Roughly unchanged","Increased by  5% ~ 25%","Less than 3 months","Breaking even","7 to 12 months","5","No","I do not know","$40,000 ~ $50,000","$10,000 ~ $20,000"
"3","Control","Brantford","Quick-service","5-10","Decreased 5% ~ 10%","Decreased by 5% ~ 25%","Roughly unchanged","Decreased by 5% ~ 25%","Less than 3 months","Operating at a loss","7 to 12 months","5","Yes","No","$40,000 ~ $50,000","$10,000 ~ $20,000"
"4","Control","Brantford","Quick-service","0","Decreased 5% ~ 10%","Roughly unchanged","Decreased more than 25%","Decreased more than 25%","Less than 3 months","Operating at a loss","More than 18 months","4","Yes","No","$20,000 ~ $40,000","$10,000 ~ $20,000"
"5","Control","Brantford","Table-service","1-4","Decreased more than 10%","Roughly unchanged","Roughly unchanged","Decreased more than 25%","Longer than 6 months","Profit between 1% and 5%","7 to 12 months","4","Yes","Yes","$40,000 ~ $50,000","$0 ~ $10,000"
"6","Control","Brantford","Table-service","1-4","Prefer not to say","Roughly unchanged","Decreased by 5% ~ 25%","Roughly unchanged","3 to 6 months","Operating at a loss","12 to 18 months","4","I do not know","Yes","$20,000 ~ $40,000","$10,000 ~ $20,000"
"7","Control","Brantford","Table-service","1-4","Decreased more than 10%","Increased by more than 25% ","Increased by  5% ~ 25%","Decreased more than 25%","Longer than 6 months","Operating at a loss","7 to 12 months","4","Yes","Yes","$0 ~ $20,000","More than $40,000"
"8","Control","Brantford","Table-service","5-10","Roughly unchanged","Roughly unchanged","Roughly unchanged","Decreased by 5% ~ 25%","Longer than 6 months","Breaking even","7 to 12 months","2","Yes","Prefer not to say","$20,000 ~ $40,000","$0 ~ $10,000"
"9","Control","Brantford","Table-service","More than 10","Decreased 5% ~ 10%","Increased by  5% ~ 25%","Roughly unchanged","Decreased more than 25%","3 to 6 months","Prefer not to say","More than 18 months","4","I do not know","Yes","$0 ~ $20,000","$0 ~ $10,000"
"10","Control","Brantford","Quick-service","1-4","Decreased 5% ~ 10%","Increased by  5% ~ 25%","Decreased by 5% ~ 25%","Roughly unchanged","Longer than 6 months","Operating at a loss","Six months or less","5","Yes","No","$20,000 ~ $40,000","$0 ~ $10,000"
"11","Control","Brantford","Table-service","1-4","Decreased 5% ~ 10%","Roughly unchanged","Decreased more than 25%","Decreased by 5% ~ 25%","Prefer not to say","Profit between 1% and 5%","More than 18 months","2","Yes","No","$0 ~ $20,000","$20,000 ~ $40,000"
"12","Control","Brantford","Table-service","5-10","Increased more than 10%","Increased by more than 25% ","Roughly unchanged","Increased by  5% ~ 25%","Less than 3 months","Breaking even","Six months or less","4","Yes","No","$20,000 ~ $40,000","$10,000 ~ $20,000"
"13","Control","Brantford","Table-service","5-10","Roughly unchanged","Increased by  5% ~ 25%","Increased by  5% ~ 25%","Decreased by 5% ~ 25%","Less than 3 months","Operating at a loss","12 to 18 months","4","Yes","Yes","$20,000 ~ $40,000","More than $40,000"
"14","Control","Brantford","Table-service","5-10","Decreased 5% ~ 10%","Increased by  5% ~ 25%","Decreased by 5% ~ 25%","Decreased by 5% ~ 25%","3 to 6 months","Profit between 1% and 5%","More than 18 months","5","Yes","Yes","$0 ~ $20,000","$10,000 ~ $20,000"
"15","Control","Brantford","Quick-service","1-4","Decreased 5% ~ 10%","Roughly unchanged","Increased by  5% ~ 25%","Increased more than 25%","Less than 3 months","Operating at a loss","Prefer not to say","5","Yes","Prefer not to say","Prefer not to say","$10,000 ~ $20,000"
"16","Control","Brantford","Table-service","0","Decreased more than 10%","Roughly unchanged","Roughly unchanged","Decreased by 5% ~ 25%","Prefer not to say","Profit between 1% and 5%","Prefer not to say","4","No","No","$0 ~ $20,000","$10,000 ~ $20,000"
"17","Control","Brantford","Table-service","5-10","Decreased 5% ~ 10%","Increased by more than 25% ","Increased by  5% ~ 25%","Increased by  5% ~ 25%","3 to 6 months","Profit between 1% and 5%","12 to 18 months","5","Yes","Yes","$0 ~ $20,000","$10,000 ~ $20,000"
"18","Control","Brantford","Table-service","5-10","Decreased 5% ~ 10%","Increased by more than 25% ","Decreased more than 25%","Roughly unchanged","Less than 3 months","Prefer not to say","Six months or less","5","Yes","Yes","$40,000 ~ $50,000","$10,000 ~ $20,000"
"19","Control","Brantford","Quick-service","1-4","Prefer not to say","Increased by more than 25% ","Roughly unchanged","Increased by  5% ~ 25%","Longer than 6 months","Profit of 5% or more","Prefer not to say","5","I do not know","No","Prefer not to say","$10,000 ~ $20,000"
"20","Control","Brantford","Quick-service","1-4","Roughly unchanged","Roughly unchanged","Decreased by 5% ~ 25%","Increased by  5% ~ 25%","Longer than 6 months","Profit of 5% or more","12 to 18 months","4","Prefer not to say","Yes","$0 ~ $20,000","$10,000 ~ $20,000"
"21","Control","Brantford","Quick-service","1-4","Decreased 5% ~ 10%","Roughly unchanged","Decreased by 5% ~ 25%","Prefer not to say","3 to 6 months","Breaking even","More than 18 months","3","Yes","Yes","$20,000 ~ $40,000","$0 ~ $10,000"
"22","Control","Brantford","Table-service","5-10","Decreased 5% ~ 10%","Roughly unchanged","Roughly unchanged","Roughly unchanged","Less than 3 months","Operating at a loss","7 to 12 months","5","Yes","Yes","$0 ~ $20,000","$10,000 ~ $20,000"
