"","restaurantName","restaurantAddress","postal_Code","CMA","phoneNumber"
"1","The Exchange Cafe","94 Tutela Heights Road Brantford, ON N3T 1A4 Canada","N3T1A4","Brantford","+1 519-756-6220"
"2","Blue Dog Coffee Roasters","199 Brant Ave Brantford, ON N3T 3J1 Canada","N3T3J1","Brantford","+1 519-512-0022"
"3","Mr Chips Fish Diner","129 Colborne Street W Brantford, ON N3T 1K9 Canada","N3T1K9","Brantford","+1 519-751-1141"
"4","Gigi's Pizza","68 Colborne Street W Brantford, ON N3T 1K5 Canada","N3T1K5","Brantford","+1 519-759-2331"
"5","The Keg Steakhouse + Bar","61 Lynden Rd Brantford, ON N3R 7J9 Canada","N3R7J9","Brantford","+1 519-757-0024"
"6","Joey's Seafood Restaurants","15 - 410 Fairview Drive Brantford, ON N3R 7V7 Canada","N3R7V7","Brantford","+1 519-750-0333"
"7","The Dragon Sports Bar","14 Main Street S St George, ON N0E 1N0 Canada","N0E1N0","Brantford","+1 519-414-8800"
"8","Papa John's Pizza","185 King George Road Brantford, ON N3R 7R9 Canada","N3R7R9","Brantford","+1 519-750-9999"
"9","McDonald's","299 Wayne Gretzky Parkway Brantford, ON N3R 8A5 Canada","N3R8A5","Brantford","+1 519-758-1010"
"10","Pavol & Ibeth's Deli","18 Elgin St Brantford, ON N3R 1E6 Canada","N3R1E6","Brantford","+1 519-755-1583"
"11","Stop 53","1365 Colborne Street E Brantford, ON N3T 5M1 Canada","N3T5M1","Brantford","+1 519-751-1555"
"12","Sunnyside Grill","39 King George Road Unit 106 Brantford, ON N3R 5K2","N3R5K2","Brantford","+1 519-304-5693"
"13","Maria's Pizza","242 Colborne St W Brantford, ON N3T 1L9 Canada","N3T1L9","Brantford","+1 519-753-2500"
"14","Archies Place","216 Erie Avenue Brantford, ON N3S 2G9 Canada","N3S2G9","Brantford","+1 519-757-0223"
"15","A&W","30 Lynden Road Brantford, ON N3R 8A4 Canada","N3R8A4","Brantford","+1 519-751-7744"
"16","Canton Chinese Food","170 Brantwood Park Road Brantford, ON N3P 1N7 Canada","N3P1N7","Brantford","+1 519-759-0099"
"17","Chuck's Roadhouse Bar and Grill","245-265 King George Road Brantford, ON N3R 5L5 Canada","N3R5L5","Brantford","+1 519-304-1237"
